PLAY FRAMEWORK,VUE.JS,SYMFONY,DJANGO,REACT.JS,NPM,SCIKIT-LEARN,SQL,TENSORFLOW,NUXT.JS,NUMPY,YARN,MONGODB,EXPRESS,FLASK,MANAGED HOSTING,POWERSHELL,HASKELL,XAMARIN,KUBERNETES,FORTRAN,ELASTICSEARCH,UNITY 3D,PHP,VMWARE,VBA,SQLITE,ASP.NET,GROOVY,CAPACITOR,SWIFT,HUGGING FACE TRANSFORMERS,APACHE SPARK,JULIA,LISP,TORCH/PYTORCH,TYPESCRIPT,RUBY ON RAILS,OVH,APACHE KAFKA,FASTAPI,PULUMI,SCALA,COUCHDB,PANDAS,APL,DART,F#,LUA,ORACLE,DOCKER,REACT NATIVE,CASSANDRA,ANGULAR,UNO PLATFORM,OCAML,AWS,FIREBASE REALTIME DATABASE,QT,NEO4J,NEXT.JS,CORDOVA,FLOW,TIDYVERSE,CHEF,KOTLIN,ASSEMBLY,FLUTTER,POSTGRESQL,KERAS,BLAZOR,JQUERY,FASTIFY,MYSQL,SPRING,GO,DRUPAL,HTML/CSS,SAS,MICROSOFT SQL SERVER,LARAVEL,PYTHON,PUPPET,BASH/SHELL,LINODE,ANSIBLE,HADOOP,HOMEBREW,ASP.NET CORE,GTK,C,ORACLE CLOUD INFRASTRUCTURE,DENO,R,DELPHI,DIGITALOCEAN,MATLAB,CRYSTAL,JAVA,COUCHBASE,COLOCATION,PHOENIX,RUBY,CLOUD FIRESTORE,.NET,UNREAL ENGINE,OBJECTIVE-C,NODE.JS,ANGULAR.JS,RUST,ELECTRON,IONIC,GATSBY,ERLANG,FIREBASE,HEROKU,C#,SVELTE,PERL,SOLIDITY,MARIADB,GOOGLE CLOUD,IBM DB2,ELIXIR,OPENSTACK,JAVASCRIPT,REDIS,IBM CLOUD OR WATSON,TERRAFORM,C++,MICROSOFT AZURE,CLOJURE,DYNAMODB,COBOL,year,qty,.NET CORE / .NET 5,.NET FRAMEWORK,GIT,GOOGLE CLOUD PLATFORM,SLACK,IOS,ARDUINO,.NET CORE,WORDPRESS,GITHUB,TERAFORM,ANDROID,SLACK APPS AND INTEGRATIONS,CONFLUENCE,WINDOWS,MICROSOFT TEAMS,BASH/SHELL/POWERSHELL,"GOOGLE SUITE (DOCS, MEET, ETC)",STACK OVERFLOW FOR TEAMS,GITLAB,FACEBOOK WORKPLACE,LINUX,MACOS,TRELLO,JIRA,RASPBERRY PI,ANGULAR/ANGULAR.JS,OTHER(S):,WEBASSEMBLY,CRYENGINE,HACK,VB.NET,GAMING CONSOLE,PREDIX,HTML,MEMCACHED,CSS,SPARK,MAINFRAME,WINDOWS DESKTOP OR SERVER,GOOGLE CLOUD PLATFORM/APP ENGINE,WINDOWS PHONE,COFFEESCRIPT,GOOGLE CLOUD STORAGE,APACHE HBASE,AMAZON ECHO,SHAREPOINT,MAC OS,GOOGLE BIGQUERY,SQL SERVER,ESP8266,SERVERLESS,VISUAL BASIC 6,AMAZON RDS/AURORA,APACHE HIVE,REACT,"MICROSOFT AZURE (TABLES, COSMOSDB, SQL, ETC)",GOOGLE HOME,SALESFORCE,AMAZON REDSHIFT,APPLE WATCH OR APPLE TV,AMAZON DYNAMODB,AZURE,DELPHI/OBJECT PASCAL,ANGULARJS,WINDOWS DESKTOP,AMAZON WEB SERVICES (AWS),SMALLTALK,LINUX DESKTOP,COMMON LISP,VISUAL BASIC,"CLOUD (AWS, GAE, AZURE, ETC.)",LAMP,ARDUINO / RASPBERRY PI,REACTJS
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1688.0,0.0,0.0,0.0,2.0,884.0,0.0,0.0,1.0,0.0,0.0,1,0.0,3.0,0.0,1.0,10.0,0.0,0,0.0,0.0,1.0,4.0,0.0,616.0,1.0,0.0,0.0,0.0,0.0,11,1.0,0.0,1.0,412.0,609.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3,1.0,1.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2,6.0,0.0,13.0,0.0,1,0.0,0.0,0.0,795,0.0,1.0,0.0,956,600,0.0,0,0.0,0.0,0.0,5.0,0.0,0.0,3028,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1,805.0,0.0,0.0,1697,0.0,10.0,0.0,2.0,2013,9743,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,592.0,1019.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1277.0,0.0,0.0,0.0,3.0,659.0,0.0,0.0,1.0,0.0,0.0,2,0.0,2.0,0.0,1.0,4.0,0.0,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,346.0,497.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,328,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,627,0.0,3.0,1.0,0.0,0.0,3,1.0,0.0,0.0,0.0,790,0.0,0.0,0.0,1,0.0,0.0,47,3.0,0.0,6.0,1.0,1,0.0,0.0,0.0,594,0.0,2.0,0.0,676,642,1.0,1,0.0,0.0,0.0,3.0,0.0,0.0,2379,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3784,583.0,0.0,0.0,1419,0.0,2.0,0.0,2.0,2014,7644,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,627.0,536.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1435.0,2.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1827.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2015,26087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,21976,,,,,4780.0,,,,,813.0,,,,,,12780,,,,,,,2746,,,,,,,,,,,,1602,,,,222.0,484.0,,,,,663.0,,,,,,,,,1651,,,,,,,,,,,,,,1547,,,,,,12282,,,,,1012,,,,7678,,,1632,,,1602.0,,17942,,,,4383,,,,3202,8509,,436,,,,,,,15283,,1624.0,,,,,,,27385,2862.0,,,9589,,556.0,,,2016,56030,,,,,,4498.0,,,4496.0,,,8601.0,,,,,,,,,,,,,,,,,,,,,,,,,,707.0,,,,1123.0,1662.0,,,,853.0,,,9306.0,,,,,,,,,665.0,,,,,,8823.0,,,,,,3312.0,4629.0,4821.0,3797.0,2541.0
,,,,,,,18754,,,,,6192.0,,,,,649.0,1675.0,,,,,10290,,1574.0,7838.0,,1193.0,,2368,,,138.0,,,3488.0,,,,,,1309,,,,145.0,457.0,1039.0,4874.0,,,906.0,,,,,,,,,2232,,,,,1823.0,,7815.0,,,,,16375.0,,1557,,,,,,11704,,,,,1148,,,,6974,,,1634,,,1569.0,,14524,,,,3324,,,,2349,9522,,416,,,,281.0,1979.0,,12476,,1585.0,,,,,380.0,,22875,4143.0,,,8155,3327.0,391.0,,,2017,51392,,,,,,4782.0,2986.0,6763.0,4537.0,,,8211.0,,,,,,,,,,,,,,4676.0,,,,,107.0,2273.0,,,,,,953.0,404.0,,,1124.0,1192.0,,,,1083.0,5363.0,,11358.0,,606.0,1071.0,,,3953.0,,,762.0,,,,,,8962.0,11949.0,8183.0,327.0,9593.0,273.0,,,,,
,,,6723.0,,,,44670,4026.0,,,,17183.0,,,,,1961.0,3796.0,,,9312.0,,24071,,3810.0,13036.0,,3373.0,,6310,,,430.0,,868.0,13626.0,,,,,,3420,,,,,1115.0,2733.0,7376.0,,,2444.0,19023.0,,470.0,15927.0,,,1572.0,,4369,,,,3508.0,5760.0,,21776.0,,,,,38909.0,9079.0,5532,2010.0,,,,,30359,,31172.0,,,2447,,,,18042,,,4813,,,4564.0,,35521,,,,7911,,,,5510,25598,,1857,,,,886.0,9575.0,6913.0,26954,,3280.0,,8853.0,,1677.0,,,54686,11944.0,950.0,,19872,,1032.0,,590.0,2018,98855,,,,,,10201.0,7006.0,14026.0,10486.0,,,19157.0,,,,,,,,,,31859.0,,,,10509.0,,,,,254.0,5254.0,850.0,110.0,53628.0,3615.0,50979.0,2475.0,533.0,23393.0,5302.0,1800.0,2603.0,3634.0,1107.0,1938.0,1766.0,11822.0,1384.0,27293.0,1466.0,2987.0,3087.0,3388.0,1438.0,14337.0,5203.0,892.0,1457.0,1464.0,1266.0,3454.0,7267.0,2025.0,,,,,,,,,,,
,9671.0,,8249.0,19877.0,,,47544,6009.0,,,,19100.0,12522.0,7694.0,,,,3810.0,6835.0,,10720.0,6627.0,23030,,4781.0,23713.0,16699.0,,,5744,,3394.0,,,1922.0,18523.0,5225.0,,,,,3309,,7447.0,,1683.0,973.0,,12353.0,25212.0,6133.0,2597.0,,,,21304.0,,,,,4147,,,1476.0,5620.0,5833.0,2010.0,25758.0,,,30981.0,,40537.0,10298.0,7201,2195.0,55466.0,,24590.0,6679.0,36443,1557.0,,,5504.0,2856,,,,18017,,,5048,,,,,35917,1517.0,,,7331,,21889.0,2055.0,4191,29207,,2794,,,,777.0,9612.0,8527.0,27097,,,,12401.0,,,1260.0,,59219,13971.0,1514.0,,20524,9528.0,1254.0,4629.0,,2019,88883,,,,9928.0,16723.0,10446.0,8543.0,13875.0,11595.0,,,21639.0,,,40630.0,,31991.0,,,,,42753.0,17806.0,,,12183.0,19532.0,23864.0,1015.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7322.0,1851.0,6014.0,15167.0,,,31413,4652.0,,,,,8961.0,6005.0,,,1222.0,2357.0,6178.0,,,4413.0,15007,,3499.0,,9258.0,,,3397,,2089.0,519.0,,1872.0,14578.0,2944.0,,,,,2052,,6253.0,,2280.0,,,,18851.0,4626.0,,10617.0,,,14389.0,,,,,2419,,,733.0,4468.0,3553.0,2897.0,,2504.0,,18316.0,,,6941.0,5038,1369.0,36181.0,,,4680.0,25287,945.0,,,2955.0,1798,,8082.0,,12487,,,3288,,,,,23074,,,,4046,,14144.0,1316.0,2340,20741,6826.0,2929,,,1703.0,,,5974.0,18041,,1796.0,,,,,,,38822,,876.0,,13707,15679.0,,,,2020,64461,,,,7569.0,28018.0,6562.0,5712.0,10755.0,7654.0,43786.0,2518.0,14101.0,3922.0,17122.0,28595.0,13518.0,18980.0,21952.0,3057.0,19545.0,1580.0,29600.0,12898.0,15655.0,25222.0,8010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11954.0,2427.0,9446.0,25296.0,,,38835,8034.0,,16445.0,12937.0,19479.0,15010.0,10174.0,,8871.0,1749.0,2844.0,12115.0,,9331.0,7206.0,18130,,3847.0,22634.0,9918.0,2479.0,,4204,,2833.0,1068.0,1096.0,4808.0,24909.0,4438.0,,,2447.0,368.0,2148,,13664.0,536.0,4965.0,804.0,,8868.0,35644.0,7051.0,1873.0,14471.0,,,29138.0,,4812.0,,,3491,929.0,,982.0,6866.0,4632.0,6586.0,28424.0,4930.0,,21693.0,,35289.0,9177.0,7879,1508.0,46259.0,,18896.0,6377.0,39792,1313.0,22385.0,,5607.0,2155,,11404.0,,17329,1014.0,1027.0,4185,1731.0,9495.0,3846.0,466.0,29162,1106.0,,,5569,,,2339.0,2310,27975,7242.0,5799,,,2501.0,651.0,11373.0,12897.0,22984,1735.0,2028.0,,12088.0,,1438.0,1438.0,,53587,14552.0,1373.0,5442.0,20057,16540.0,1552.0,5137.0,437.0,2021,83439,15310.0,16620.0,68171.0,16687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450.0,10278.0,1955.0,8002.0,23277.0,35778.0,5776.0,35127,5942.0,2089.0,13144.0,15175.0,17228.0,12557.0,7994.0,2927.0,8575.0,1577.0,2388.0,12624.0,646.0,7430.0,5840.0,14827,4429.0,3185.0,19487.0,8139.0,2357.0,1142.0,3489,925.0,2298.0,1084.0,932.0,3952.0,24752.0,3182.0,1913.0,4748.0,3289.0,461.0,1837,783.0,11506.0,504.0,4648.0,730.0,2867.0,6994.0,34981.0,5765.0,1617.0,11138.0,334.0,422.0,25939.0,5309.0,3906.0,1291.0,7386.0,1903,444.0,996.0,828.0,6507.0,3887.0,5799.0,26538.0,3333.0,2438.0,15602.0,1008.0,28520.0,7399.0,7922,1211.0,39142.0,435.0,16355.0,5159.0,34155,1025.0,20656.0,1994.0,5210.0,1581,14420.0,10155.0,1380.0,13692,1110.0,925.0,3308,2311.0,7953.0,2913.0,340.0,23644,807.0,642.0,1164.0,4299,4535.0,15850.0,2180.0,1698,25733,4912.0,6625,4390.0,2417.0,1889.0,641.0,10751.0,10160.0,19883,2500.0,1644.0,1031.0,10912.0,13634.0,1219.0,1528.0,1029.0,46443,13471.0,853.0,6160.0,16024,14604.0,1070.0,5029.0,464.0,2022,73268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
