EXPRESS,MICROSOFT SQL SERVER,NEO4J,KERAS,SCALA,SWIFT,ELASTICSEARCH,PUPPET,FORTRAN,JULIA,PLAY FRAMEWORK,OBJECTIVE-C,NODE.JS,RUBY ON RAILS,F#,PHP,XAMARIN,IBM CLOUD OR WATSON,FLASK,VUE.JS,IBM DB2,HTML/CSS,POSTGRESQL,UNREAL ENGINE,R,UNO PLATFORM,OPENSTACK,HUGGING FACE TRANSFORMERS,LINODE,DJANGO,DIGITALOCEAN,LISP,SAS,JQUERY,C#,BASH/SHELL,HOMEBREW,KUBERNETES,DELPHI,LUA,FIREBASE REALTIME DATABASE,AWS,MANAGED HOSTING,HASKELL,ORACLE CLOUD INFRASTRUCTURE,TYPESCRIPT,GOOGLE CLOUD,FLOW,ANSIBLE,QT,SQL,ELECTRON,CHEF,LARAVEL,FASTAPI,APACHE KAFKA,MYSQL,HADOOP,SPRING,REACT NATIVE,OCAML,APACHE SPARK,DENO,SYMFONY,CORDOVA,UNITY 3D,YARN,ANGULAR,VMWARE,REACT.JS,GO,RUBY,GTK,NEXT.JS,REDIS,COUCHDB,TIDYVERSE,MONGODB,ASP.NET CORE,FASTIFY,DART,HEROKU,MICROSOFT AZURE,DOCKER,CAPACITOR,ELIXIR,KOTLIN,PHOENIX,APL,CLOUD FIRESTORE,COUCHBASE,DRUPAL,IONIC,NUXT.JS,SQLITE,FLUTTER,C,BLAZOR,ERLANG,SCIKIT-LEARN,SVELTE,NPM,RUST,TERRAFORM,MARIADB,COLOCATION,NUMPY,SOLIDITY,ORACLE,MATLAB,C++,GATSBY,CLOJURE,TORCH/PYTORCH,FIREBASE,TENSORFLOW,GROOVY,VBA,JAVA,DYNAMODB,PYTHON,JAVASCRIPT,OVH,.NET,POWERSHELL,ASP.NET,CRYSTAL,CASSANDRA,PULUMI,PERL,PANDAS,ASSEMBLY,ANGULAR.JS,COBOL,year,qty,GOOGLE CLOUD PLATFORM,.NET FRAMEWORK,GIT,.NET CORE / .NET 5,GITLAB,TERAFORM,FACEBOOK WORKPLACE,ARDUINO,WORDPRESS,RASPBERRY PI,WINDOWS,.NET CORE,ANDROID,CONFLUENCE,MACOS,JIRA,BASH/SHELL/POWERSHELL,TRELLO,LINUX,SLACK APPS AND INTEGRATIONS,SLACK,IOS,"GOOGLE SUITE (DOCS, MEET, ETC)",STACK OVERFLOW FOR TEAMS,MICROSOFT TEAMS,GITHUB,ANGULAR/ANGULAR.JS,OTHER(S):,WEBASSEMBLY,CRYENGINE,GOOGLE HOME,GAMING CONSOLE,APACHE HBASE,AMAZON REDSHIFT,CSS,SALESFORCE,ESP8266,MAC OS,VISUAL BASIC 6,HTML,VB.NET,PREDIX,SERVERLESS,WINDOWS PHONE,WINDOWS DESKTOP OR SERVER,HACK,MAINFRAME,APACHE HIVE,COFFEESCRIPT,AMAZON DYNAMODB,"MICROSOFT AZURE (TABLES, COSMOSDB, SQL, ETC)",GOOGLE BIGQUERY,SHAREPOINT,AMAZON ECHO,MEMCACHED,GOOGLE CLOUD STORAGE,AMAZON RDS/AURORA,APPLE WATCH OR APPLE TV,REACT,SPARK,GOOGLE CLOUD PLATFORM/APP ENGINE,DELPHI/OBJECT PASCAL,SQL SERVER,AZURE,COMMON LISP,SMALLTALK,LINUX DESKTOP,WINDOWS DESKTOP,ANGULARJS,AMAZON WEB SERVICES (AWS),LAMP,VISUAL BASIC,ARDUINO / RASPBERRY PI,"CLOUD (AWS, GAE, AZURE, ETC.)",REACTJS,jobopenings_agg
0.0,0.0,1.0,0.0,11,0,0.0,0.0,1.0,1.0,0.0,956,600,1.0,609.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,3028,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,884.0,0.0,616.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,795,0.0,0.0,805.0,1.0,0.0,1688.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1697,0.0,10.0,0.0,0.0,0.0,10.0,3.0,1,0.0,1,1,0.0,1.0,2.0,1.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,2.0,2013,9743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,25.0,0.0,0.0,592.0,0.0,0.0,0.0,0.0,1019.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,667832.0
0.0,0.0,0.0,0.0,13,0,0.0,1.0,1.0,0.0,0.0,676,642,0.0,497.0,2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,47,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,2379,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,659.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,2.0,790,0.0,0.0,1.0,0.0,0.0,0.0,328,0.0,0.0,1.0,0.0,0.0,627,594,0.0,0.0,583.0,0.0,0.0,1277.0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1419,0.0,2.0,0.0,0.0,0.0,4.0,2.0,1,0.0,3,3784,0.0,2.0,3.0,1.0,1.0,1.0,0.0,12.0,0.0,4.0,1.0,2.0,2014,7644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,627.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1435.0,0.0,0.0,12.0,1827.0,0.0,0.0,784846.0
0.0,0.0,1.0,0.0,1,1,3.0,1.0,3.0,1.0,2.0,1719,2919,1.0,174.0,6529,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,755,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,6949,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,357.0,0.0,1.0,0.0,0.0,0.0,6.0,9439,0.0,1.0,1.0,0.0,0.0,2.0,342,3.0,0.0,1.0,0.0,0.0,0.0,628,0.0,0.0,1.0,0.0,1.0,1,1765,0.0,0.0,873.0,2.0,0.0,1.0,0.0,0.0,109.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,3612,0.0,4.0,0.0,0.0,0.0,103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4529,0.0,176.0,0.0,0.0,0.0,12.0,1.0,8219,0.0,5238,1,0.0,1.0,1.0,2.0,0.0,202.0,0.0,738.0,0.0,4.0,0.0,2.0,2015,26086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,0.0,0.0,0.0,4110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,570.0,0.0,1.0,0.0,0.0,783.0,0.0,0.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,11.0,104.0,0.0,0.0,4129.0,1.0,1.0,1.0,0.0,0.0,2913.0,0.0,1926.0,1.0,1626.0,1410.0,2.0,913536.0
,,,,1602,2746,,,,,,3202,8509,,484.0,12780,,,,,,,,,1632,,,,,,,,,,15283,,,,,,,,,813.0,,,,,,,21976,,,,,,,1012,,,,,,,1651,,,,,,1547,4383,,,2862.0,,,4780.0,,,222.0,,,,,,,,,,,,,,,,7678,,,,,,436,,,,,,,1602.0,9589,,556.0,,,,,,17942,,12282,27385,,,,,,663.0,,1624.0,,,,,2016,56030,,,,,,,,,4496.0,,,,8601.0,,,,,,,,,4498.0,,,,,,,,,,,,,,665.0,,,,,,,,1123.0,,,,,1662.0,,,,853.0,,,,,,,707.0,,,9306.0,,,,,,8823.0,,4821.0,3312.0,3797.0,4629.0,2541.0,961278.0
,,,,1309,2368,,,,138.0,,2349,9522,,457.0,10290,1675.0,,,,,,7815.0,,1634,,,,,,,,,,12476,,,,,1039.0,,,,649.0,,3488.0,,,,,18754,,,,,,16375.0,1148,,,,,,,2232,,,,,,1557,3324,,,4143.0,,,6192.0,,,145.0,,3327.0,,,380.0,,,,,,,,,7838.0,,6974,,281.0,,,,416,,,,,,4874.0,1569.0,8155,,391.0,,1979.0,,1193.0,1574.0,14524,,11704,22875,,,,,,906.0,,1585.0,,1823.0,,,2017,51392,,,,,,,,2986.0,4537.0,4676.0,,6763.0,8211.0,,,,,,,,,4782.0,,,,,,,,,,,,,,762.0,,5363.0,1071.0,,2273.0,,606.0,1124.0,,107.0,404.0,,1192.0,,,,1083.0,,,,,,3953.0,953.0,,,11358.0,,273.0,327.0,9593.0,11949.0,8962.0,8183.0,,,,,,1007397.0
,,1572.0,,3420,6310,9312.0,,,430.0,,5510,25598,,1115.0,24071,3796.0,950.0,,,1677.0,,21776.0,,4813,,,,,6723.0,,,,,26954,31172.0,,,,2733.0,,15927.0,,1961.0,,13626.0,,,,,44670,,,,,,38909.0,2447,9079.0,,470.0,,,,4369,,,19023.0,,,5532,7911,,,11944.0,,,17183.0,,,,6913.0,,,,,3508.0,,,,,2010.0,,,13036.0,,18042,,886.0,,,,1857,,8853.0,,,,7376.0,4564.0,19872,,1032.0,868.0,9575.0,4026.0,3373.0,3810.0,35521,,30359,54686,,,,,,2444.0,,3280.0,,5760.0,,590.0,2018,98855,,,,,,,,7006.0,10486.0,10509.0,,14026.0,19157.0,,,,,,31859.0,,,10201.0,,,,,,,,,892.0,850.0,1107.0,1464.0,50979.0,1457.0,1466.0,11822.0,3087.0,53628.0,5254.0,110.0,2987.0,1800.0,23393.0,254.0,533.0,1438.0,2603.0,3454.0,5203.0,1384.0,1766.0,1938.0,3615.0,3634.0,3388.0,1266.0,14337.0,2475.0,5302.0,2025.0,27293.0,7267.0,,,,,,,,,,,,1170007.0
12522.0,24590.0,,,3309,5744,10720.0,1557.0,,,,4191,29207,5225.0,973.0,23030,3810.0,1514.0,7694.0,9671.0,,55466.0,25758.0,2055.0,5048,,,,,8249.0,,,,30981.0,27097,,,6835.0,,,,21304.0,,,,18523.0,,,5504.0,,47544,,1476.0,6679.0,,,40537.0,2856,10298.0,6133.0,,3394.0,,,4147,6627.0,,,,19877.0,7201,7331,,,13971.0,,,19100.0,,,1683.0,8527.0,9528.0,25212.0,,1260.0,5620.0,,,,1517.0,2195.0,,,23713.0,2010.0,18017,,777.0,,,,2794,,12401.0,,,,12353.0,,20524,,1254.0,1922.0,9612.0,6009.0,,4781.0,35917,4629.0,36443,59219,,21889.0,,16699.0,,2597.0,,,7447.0,5833.0,,,2019,88883,9928.0,,,,,,,8543.0,11595.0,12183.0,40630.0,13875.0,21639.0,,17806.0,,31991.0,,42753.0,,16723.0,10446.0,,,,,19532.0,23864.0,1015.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175220.0
8961.0,,,2504.0,2052,3397,,945.0,,519.0,,2340,20741,2944.0,,15007,2357.0,876.0,6005.0,7322.0,,36181.0,,1316.0,3288,,,,,6014.0,,,,18316.0,18041,,,6178.0,,,,14389.0,,1222.0,,14578.0,,,2955.0,,31413,,733.0,4680.0,,,,1798,6941.0,4626.0,,2089.0,,1851.0,2419,4413.0,,10617.0,,15167.0,5038,4046,,,,,,,8082.0,,2280.0,5974.0,15679.0,18851.0,,,4468.0,,,,,1369.0,,,,2897.0,12487,,,,,,2929,,,,,,,,13707,1703.0,,1872.0,,4652.0,,3499.0,23074,,25287,38822,,14144.0,,9258.0,,,,1796.0,6253.0,3553.0,6826.0,,2020,64461,7569.0,,,,19545.0,2518.0,1580.0,5712.0,7654.0,8010.0,28595.0,10755.0,14101.0,17122.0,12898.0,25222.0,18980.0,15655.0,29600.0,3922.0,28018.0,6562.0,21952.0,3057.0,13518.0,43786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042112.0
15010.0,18896.0,,4930.0,2148,4204,9331.0,1313.0,,1068.0,,2310,27975,4438.0,804.0,18130,2844.0,1373.0,10174.0,11954.0,1438.0,46259.0,28424.0,2339.0,4185,,,,,9446.0,9495.0,1096.0,,21693.0,22984,22385.0,,12115.0,1731.0,,,29138.0,,1749.0,1014.0,24909.0,,929.0,5607.0,4812.0,38835,,982.0,6377.0,2447.0,,35289.0,2155,9177.0,7051.0,,2833.0,1027.0,2427.0,3491,7206.0,12937.0,14471.0,,25296.0,7879,5569,,,14552.0,,,19479.0,11404.0,,4965.0,12897.0,16540.0,35644.0,,1438.0,6866.0,,536.0,,1106.0,1508.0,,,22634.0,6586.0,17329,,651.0,,1735.0,,5799,5442.0,12088.0,,16445.0,,8868.0,3846.0,20057,2501.0,1552.0,4808.0,11373.0,8034.0,2479.0,3847.0,29162,5137.0,39792,53587,,,8871.0,9918.0,466.0,1873.0,368.0,2028.0,13664.0,4632.0,7242.0,437.0,2021,83439,16687.0,16620.0,68171.0,15310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635705.0
12557.0,16355.0,1291.0,3333.0,1837,3489,7430.0,1025.0,646.0,1084.0,450.0,1698,25733,3182.0,730.0,14827,2388.0,853.0,7994.0,10278.0,1219.0,39142.0,26538.0,2180.0,3308,334.0,1029.0,925.0,1994.0,8002.0,7953.0,932.0,435.0,15602.0,19883,20656.0,14420.0,12624.0,2311.0,2867.0,5309.0,25939.0,2927.0,1577.0,1110.0,24752.0,13634.0,444.0,5210.0,3906.0,35127,4390.0,828.0,5159.0,3289.0,4748.0,28520.0,1581,7399.0,5765.0,422.0,2298.0,925.0,1955.0,1903,5840.0,15175.0,11138.0,4429.0,23277.0,7922,4299,1380.0,7386.0,13471.0,783.0,996.0,17228.0,10155.0,1008.0,4648.0,10160.0,14604.0,34981.0,1142.0,1528.0,6507.0,1164.0,504.0,4535.0,807.0,1211.0,2417.0,2089.0,19487.0,5799.0,13692,2438.0,641.0,5776.0,2500.0,35778.0,6625,6160.0,10912.0,642.0,13144.0,1031.0,6994.0,2913.0,16024,1889.0,1070.0,3952.0,10751.0,5942.0,2357.0,3185.0,23644,5029.0,34155,46443,1913.0,15850.0,8575.0,8139.0,340.0,1617.0,461.0,1644.0,11506.0,3887.0,4912.0,464.0,2022,73268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822390.0
